video_path,frame_index,timestamp_seconds,label,confidence,x,y,w,h,radius,detector_type,selection_method,annotated_frame_path
videos/red_micro_putt.MOV,0,0.0,colored_golf_ball_candidate,0.781,2,0,598,1280,640.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000000_annotated.jpg
videos/red_micro_putt.MOV,15,0.25,colored_golf_ball_candidate,0.768,0,1123,292,157,146.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000015_annotated.jpg
videos/red_micro_putt.MOV,30,0.5,colored_golf_ball_candidate,0.776,0,0,596,1280,640.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000030_annotated.jpg
videos/red_micro_putt.MOV,45,0.75,colored_golf_ball_candidate,0.767,2,0,592,1266,633.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000045_annotated.jpg
videos/red_micro_putt.MOV,60,1.0,colored_golf_ball_candidate,0.764,8,0,586,1265,632.5,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000060_annotated.jpg
videos/red_micro_putt.MOV,75,1.251,colored_golf_ball_candidate,0.765,0,0,588,1272,636.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000075_annotated.jpg
videos/red_micro_putt.MOV,90,1.501,colored_golf_ball_candidate,0.768,3,0,598,1268,634.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000090_annotated.jpg
videos/red_micro_putt.MOV,105,1.751,colored_golf_ball_candidate,0.768,7,0,598,1268,634.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000105_annotated.jpg
videos/red_micro_putt.MOV,120,2.001,colored_golf_ball_candidate,0.836,468,1034,252,246,126.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000120_annotated.jpg
videos/red_micro_putt.MOV,135,2.251,colored_golf_ball_candidate,0.738,302,243,344,344,172.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000135_annotated.jpg
videos/red_micro_putt.MOV,150,2.501,colored_golf_ball_candidate,0.717,387,279,229,210,114.5,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000150_annotated.jpg
videos/red_micro_putt.MOV,165,2.751,colored_golf_ball_candidate,0.742,371,246,296,296,148.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000165_annotated.jpg
videos/red_micro_putt.MOV,180,3.001,colored_golf_ball_candidate,0.741,403,286,204,204,102.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000180_annotated.jpg
videos/red_micro_putt.MOV,195,3.251,colored_golf_ball_candidate,0.743,395,288,244,244,122.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000195_annotated.jpg
videos/red_micro_putt.MOV,210,3.502,colored_golf_ball_candidate,0.741,375,279,252,252,126.0,hough_plus_component_fusion,largest_mask_component_plus_hough_circle,/Users/doninouye/Desktop/aim240-capstone/findmyball-aim240-mvp/output/video_frames/red_micro_putt_frame_000210_annotated.jpg
